",,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced"
"Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA"
"55,Colgate,33,18,15,.545,-5.99,-5.38,,11,7,,9,5,,6,10,,2522,2462,,66.9,111.7,.292,.350,.572,50.0,51.9,8.7,8.7,.542,13.2,27.1,.218"
"56,College of Charleston,32,21,11,.656,-1.17,-2.59,,14,4,,11,4,,8,4,,2413,2348,,68.5,109.2,.409,.378,.545,50.0,52.2,8.1,12.5,.501,13.4,30.2,.300"
"57,Colorado,32,17,15,.531,10.89,10.36,,7,11,,13,5,,2,8,,2559,2542,,70.1,113.2,.358,.351,.570,49.7,55.7,9.0,8.8,.532,12.7,29.0,.271"
"58,Colorado State,33,21,12,.636,8.56,5.03,,11,9,,12,5,,6,5,,2510,2347,,64.6,117.8,.394,.489,.620,52.1,63.0,8.3,6.7,.585,16.2,30.0,.304"
"59,Columbia,28,16,12,.571,-2.56,-3.95,,5,9,,9,5,,7,7,,2146,2007,,67.6,112.4,.282,.372,.563,56.2,55.4,8.6,8.1,.541,16.1,37.5,.194"
"60,Connecticut NCAA,34,29,5,.853,22.92,10.53,,17,3,,15,2,,9,2,,2635,2214,,66.0,116.5,.300,.403,.578,54.2,65.0,10.3,15.2,.553,14.3,35.7,.215"
"61,Coppin State,31,7,24,.226,-24.84,-8.11,,5,9,,3,6,,4,15,,2032,2493,,69.4,94.0,.378,.352,.500,47.7,51.4,9.2,10.7,.463,19.0,31.4,.255"
"62,Cornell,28,15,13,.536,-1.67,-2.83,,8,6,,7,4,,8,8,,2477,2335,,72.1,121.5,.290,.526,.621,51.2,68.7,8.2,7.4,.599,14.1,31.2,.215"
"63,Creighton,32,15,17,.469,10.57,10.47,,9,11,,10,6,,4,8,,2404,2401,,68.5,109.2,.275,.482,.562,49.6,58.4,8.5,6.2,.531,14.5,27.5,.209"
"64,Dartmouth,27,11,16,.407,-8.24,-2.92,,5,9,,5,8,,6,8,,2047,2071,,69.7,108.2,.370,.491,.567,49.7,55.5,7.1,9.8,.529,15.4,25.8,.276"
"65,Davidson,33,20,13,.606,4.27,2.76,,10,8,,11,7,,7,4,,2367,2225,,64.5,109.9,.325,.442,.556,49.7,53.9,10.1,12.6,.535,13.8,29.2,.212"
"66,Dayton,34,23,11,.676,8.85,4.37,,12,6,,14,3,,6,5,,2528,2376,,68.1,108.0,.471,.415,.567,49.3,59.9,12.1,12.4,.517,15.4,27.0,.353"
"67,Delaware,31,10,21,.323,-8.65,-2.45,,6,14,,5,10,,4,10,,2098,2293,,64.2,103.3,.306,.460,.566,46.9,52.2,8.6,9.1,.528,16.8,21.0,.241"
"68,Delaware State,31,8,23,.258,-22.55,-10.81,,2,12,,5,7,,2,14,,1896,2185,,66.5,91.2,.321,.285,.478,47.6,47.9,11.4,5.4,.440,17.1,28.2,.221"
"69,Denver,32,15,17,.469,-5.76,-2.04,,8,8,,9,5,,6,11,,2650,2650,,69.5,119.2,.344,.386,.590,49.8,40.0,6.6,5.2,.553,12.3,30.8,.266"
"70,DePaul,32,16,16,.500,7.45,6.76,,8,12,,11,7,,4,7,,2248,2226,,67.7,103.7,.353,.390,.531,49.2,60.9,10.2,9.4,.498,15.4,30.0,.244"
"71,Detroit Mercy,32,17,15,.531,-5.62,-3.19,,12,8,,9,5,,7,9,,2471,2475,,70.0,110.2,.343,.308,.543,52.1,48.0,8.5,9.3,.498,13.7,34.1,.266"
"72,Drake,34,14,20,.412,-0.93,1.44,,6,14,,6,11,,4,7,,2552,2544,,68.1,109.5,.335,.457,.553,49.3,52.0,8.0,9.2,.521,13.1,27.1,.241"
"73,Drexel,33,17,16,.515,-4.73,-4.48,,10,8,,12,4,,4,9,,2247,2221,,65.7,103.6,.312,.401,.532,50.9,54.4,9.3,9.9,.508,16.4,31.7,.206"
"74,Duke NCAA,34,32,2,.941,31.55,12.41,,17,1,,15,0,,10,1,,2798,2147,,67.1,122.6,.378,.444,.597,57.8,59.2,11.6,10.4,.568,13.3,38.1,.273"
"75,Duquesne,33,18,15,.545,3.38,2.34,,9,9,,12,6,,5,7,,2584,2481,,69.7,110.6,.378,.438,.566,50.9,56.2,11.0,8.9,.532,15.3,31.1,.270"
"76,East Carolina,31,11,20,.355,-5.73,0.43,,6,12,,7,10,,4,8,,2217,2401,,69.3,102.0,.393,.313,.507,50.4,47.3,9.2,10.6,.464,14.8,33.8,.276"
"77,East Tennessee State,34,23,11,.676,-0.64,-7.33,,13,5,,13,4,,8,6,,2638,2356,,66.9,115.1,.339,.379,.585,51.2,50.7,13.0,11.3,.553,13.3,29.4,.252"
"78,East Texas A&M,32,11,21,.344,-11.01,-2.05,,6,16,,6,8,,4,13,,2246,2385,,69.3,101.2,.311,.464,.534,47.2,64.9,10.5,8.7,.508,16.5,26.6,.211"
"79,Eastern Illinois,33,13,20,.394,-13.46,-5.83,,8,12,,9,6,,3,13,,2214,2321,,66.6,99.6,.332,.301,.517,48.1,51.1,11.5,9.4,.476,16.1,29.4,.244"
"80,Eastern Kentucky,32,11,21,.344,-10.18,-4.58,,7,11,,8,7,,3,13,,2568,2619,,69.8,113.3,.312,.507,.557,50.3,53.4,9.9,9.0,.527,14.0,33.7,.226"
"81,Eastern Michigan,31,10,21,.323,-5.71,-1.51,,4,14,,7,7,,3,14,,2191,2279,,68.4,102.4,.295,.319,.530,50.0,48.5,8.6,10.9,.497,15.2,28.4,.215"
