",,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced"
"Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA"
"267,San Francisco,33,17,16,.515,4.39,4.23,,8,10,,9,6,,4,7,,2464,2414,,67.1,110.4,.394,.459,.553,51.8,56.2,7.9,7.8,.516,13.9,31.7,.281"
"268,San Jose State,33,9,24,.273,-1.99,6.41,,3,17,,6,10,,1,12,,2376,2591,,66.0,108.7,.334,.382,.542,46.1,42.8,8.7,6.6,.505,13.2,30.0,.245"
"269,Santa Clara NCAA,34,26,8,.765,15.88,6.06,,15,3,,14,1,,8,3,,2817,2463,,69.7,118.9,.252,.451,.570,51.8,55.2,12.8,10.8,.546,13.0,36.7,.185"
"270,Seattle,33,20,13,.606,4.42,2.71,,8,10,,13,4,,5,7,,2373,2211,,69.0,103.7,.349,.383,.536,47.9,52.8,11.5,13.7,.502,14.8,26.5,.246"
"271,Seton Hall,33,21,12,.636,13.45,8.45,,10,10,,12,5,,6,5,,2321,2156,,66.5,105.8,.353,.268,.517,51.7,51.6,13.9,18.7,.476,14.0,35.6,.255"
"272,Siena NCAA,34,23,11,.676,-4.34,-9.19,,13,7,,9,4,,9,7,,2398,2233,,64.3,109.3,.342,.319,.548,52.1,53.0,9.0,9.1,.506,13.8,31.9,.263"
"273,South Alabama,32,21,11,.656,-4.39,-6.76,,11,7,,10,4,,8,6,,2387,2234,,66.2,110.5,.394,.367,.556,49.1,45.0,12.0,10.6,.530,11.5,25.6,.260"
"274,South Carolina,32,13,19,.406,7.62,9.16,,4,14,,11,8,,2,8,,2398,2447,,68.0,109.0,.367,.444,.550,47.6,52.9,8.0,6.2,.503,12.7,27.2,.287"
"275,South Carolina State,32,10,22,.313,-21.79,-8.63,,7,7,,6,5,,3,16,,2147,2522,,70.2,95.6,.410,.329,.506,47.0,52.9,9.9,11.3,.468,18.2,32.0,.274"
"276,South Carolina Upstate,32,13,19,.406,-10.24,-5.55,,5,11,,10,5,,3,13,,2376,2357,,70.0,104.5,.327,.363,.530,49.8,48.1,9.4,12.3,.500,15.1,29.9,.224"
"277,South Dakota,32,16,16,.500,-8.60,-4.88,,8,8,,12,5,,3,10,,2547,2566,,71.3,110.0,.448,.356,.557,50.0,46.3,8.6,5.8,.510,14.2,30.3,.330"
"278,South Dakota State,32,14,18,.438,-3.09,-2.95,,7,9,,9,4,,4,9,,2413,2331,,67.9,110.6,.300,.393,.555,53.5,52.2,8.4,7.5,.528,14.0,31.4,.213"
"279,South Florida NCAA,33,25,8,.758,13.29,2.60,,15,3,,13,2,,9,3,,2895,2492,,73.1,117.7,.410,.440,.556,53.1,59.3,12.3,11.1,.512,12.4,38.0,.305"
"280,Southeast Missouri State,33,20,13,.606,-6.85,-7.82,,14,6,,10,5,,8,7,,2460,2331,,70.5,105.3,.383,.363,.540,50.9,47.4,9.6,10.0,.505,14.6,29.7,.267"
"281,Southeastern Louisiana,31,9,22,.290,-9.31,-2.84,,6,16,,5,7,,2,15,,2016,2184,,65.8,98.4,.396,.397,.510,48.1,52.4,10.5,8.5,.470,16.3,29.1,.271"
"282,Southern,34,17,17,.500,-10.98,-6.95,,11,7,,8,4,,7,12,,2707,2650,,72.5,108.7,.395,.325,.546,50.2,54.0,12.7,10.6,.510,14.1,32.0,.276"
"283,Southern California,32,18,14,.563,10.58,11.16,,7,13,,9,7,,5,6,,2515,2494,,71.0,108.5,.441,.336,.551,51.5,57.2,8.8,15.3,.507,14.9,33.3,.319"
"284,Southern Illinois,32,16,16,.500,3.09,0.86,,10,10,,8,6,,7,8,,2336,2226,,69.8,103.4,.315,.296,.522,52.2,49.2,11.4,10.4,.493,14.7,31.2,.214"
"285,SIU Edwardsville,32,19,13,.594,-8.46,-10.25,,12,8,,10,5,,8,7,,2271,2070,,66.5,105.9,.307,.363,.534,51.2,51.1,11.3,11.3,.508,15.0,31.5,.207"
"286,Southern Indiana,30,7,23,.233,-16.23,-8.98,,4,16,,3,10,,4,11,,2061,2210,,68.8,99.1,.365,.405,.485,48.4,44.3,9.1,9.8,.449,14.4,32.2,.240"
"287,Southern Methodist NCAA,33,20,13,.606,17.27,10.66,,8,10,,15,3,,3,8,,2779,2561,,70.7,118.2,.306,.360,.586,52.5,55.1,10.0,11.2,.557,13.6,35.4,.227"
"288,Southern Mississippi,35,19,16,.543,-5.39,-4.51,,9,9,,10,3,,4,11,,2615,2585,,69.9,106.1,.429,.298,.543,52.3,44.6,10.5,11.0,.496,15.8,32.6,.315"
"289,Southern Utah,32,10,22,.313,-9.19,-0.22,,6,12,,7,6,,2,15,,2442,2544,,72.0,105.6,.334,.365,.556,49.9,51.4,7.7,9.5,.523,17.1,30.0,.241"
"290,St. Bonaventure,34,17,17,.500,2.40,1.67,,4,14,,9,7,,4,7,,2596,2532,,67.4,112.4,.297,.315,.558,52.4,55.9,11.2,13.7,.526,14.3,34.7,.221"
"291,St. John's (NY) NCAA,34,28,6,.824,22.42,10.83,,18,2,,15,2,,9,1,,2773,2379,,71.0,114.5,.419,.338,.552,52.9,58.2,11.1,12.4,.510,12.4,35.9,.305"
"292,St. Thomas,33,24,9,.727,3.27,-5.30,,12,4,,14,1,,8,6,,2728,2366,,70.0,118.1,.348,.461,.611,49.7,57.8,10.7,7.6,.594,12.2,22.5,.237"
"293,Stanford,32,20,12,.625,12.55,9.27,,9,9,,12,6,,5,5,,2431,2326,,67.9,111.8,.357,.442,.554,50.4,46.3,11.6,10.2,.517,13.3,32.3,.261"
"294,Stephen F. Austin,33,28,5,.848,4.06,-4.62,,20,2,,15,1,,12,3,,2520,2176,,66.7,114.6,.294,.397,.545,53.0,49.6,10.4,10.0,.521,11.6,34.9,.200"
"295,Stetson,33,12,21,.364,-12.70,-4.70,,7,11,,9,5,,2,14,,2431,2631,,68.5,107.2,.327,.451,.562,48.5,59.3,9.1,5.8,.538,16.1,28.2,.223"
"296,Stonehill,33,12,21,.364,-14.60,-9.28,,8,10,,8,5,,4,15,,2191,2263,,67.1,97.5,.285,.406,.509,51.6,52.3,7.1,9.9,.480,16.6,28.2,.196"
"297,Stony Brook,32,17,15,.531,-5.46,-3.69,,9,9,,12,4,,4,9,,2295,2277,,67.0,105.9,.282,.460,.535,48.1,52.8,10.0,10.7,.505,14.4,28.3,.203"
"298,Syracuse,32,15,17,.469,10.28,9.53,,6,12,,12,6,,2,7,,2400,2376,,67.8,108.5,.351,.372,.548,48.0,47.1,9.0,15.4,.526,13.9,29.2,.228"
"299,Tarleton State,32,14,18,.438,-4.76,-1.48,,5,13,,10,6,,4,11,,2385,2349,,71.4,103.2,.409,.246,.538,48.8,42.8,14.3,9.8,.490,17.2,32.0,.305"
"300,Temple,32,16,16,.500,1.04,-0.76,,8,10,,10,6,,5,6,,2366,2264,,65.6,112.2,.408,.360,.553,50.1,49.2,8.6,11.2,.508,11.9,29.9,.305"
"301,Tennessee NCAA,33,22,11,.667,22.08,11.99,,11,7,,14,3,,5,5,,2622,2289,,67.3,116.8,.387,.317,.549,58.8,59.8,11.0,11.3,.516,13.9,45.1,.269"
"302,Tennessee State NCAA,32,23,9,.719,-4.54,-8.68,,15,5,,10,2,,10,7,,2577,2347,,72.0,111.5,.338,.306,.551,53.0,45.6,13.0,10.1,.510,14.3,35.4,.259"
"303,Tennessee Tech,31,13,18,.419,-13.25,-7.89,,8,12,,8,6,,5,12,,2272,2308,,69.6,105.4,.359,.377,.546,51.7,47.8,8.5,7.7,.503,16.5,32.1,.273"
"304,Tennessee-Martin,33,22,11,.667,-5.92,-9.06,,13,7,,12,3,,8,6,,2303,2085,,66.9,103.8,.364,.465,.524,54.4,56.9,13.2,13.0,.491,17.8,38.6,.247"
"305,Texas NCAA,32,18,14,.563,16.17,10.30,,9,9,,12,5,,4,6,,2681,2458,,69.2,120.1,.453,.360,.593,55.4,43.5,8.2,7.6,.550,13.5,36.3,.340"
"306,Texas A&M NCAA,32,21,11,.656,16.76,8.60,,11,7,,14,4,,6,5,,2807,2546,,72.5,118.2,.374,.463,.577,49.9,61.3,10.9,8.9,.542,12.5,32.3,.276"
"307,Texas A&M-Corpus Christi,33,18,15,.545,-2.48,-1.62,,13,9,,10,5,,7,9,,2393,2234,,68.2,105.9,.387,.319,.545,53.0,52.0,11.1,8.8,.514,16.6,33.4,.262"
"308,Texas Christian NCAA,33,22,11,.667,15.75,9.51,,11,7,,14,5,,5,5,,2584,2378,,69.7,111.1,.387,.369,.546,51.9,57.6,10.9,12.6,.509,13.2,34.4,.274"
"309,Texas Southern,30,12,18,.400,-14.05,-7.98,,10,8,,9,5,,3,12,,2251,2339,,71.2,103.7,.388,.321,.542,50.0,42.8,9.4,10.1,.503,16.5,29.4,.278"
"310,Texas State,32,19,13,.594,-7.26,-6.69,,11,7,,16,1,,3,9,,2365,2271,,67.8,107.7,.346,.248,.550,53.6,48.4,12.2,10.5,.509,15.9,34.6,.262"
"311,Texas Tech NCAA,32,22,10,.688,21.95,14.17,,12,6,,14,2,,5,5,,2573,2324,,67.9,117.9,.271,.480,.584,52.0,55.5,8.5,9.5,.562,13.6,33.3,.194"
"312,Texas-Rio Grande Valley,33,19,14,.576,0.93,-2.20,,14,8,,10,5,,8,8,,2505,2293,,66.6,112.6,.292,.441,.586,50.5,61.4,9.0,8.0,.557,15.7,29.6,.222"
"313,The Citadel,33,11,22,.333,-16.51,-5.91,,7,11,,7,8,,3,12,,2322,2558,,65.1,106.1,.288,.497,.529,47.9,51.7,8.4,7.6,.505,13.5,28.8,.194"
"314,Toledo,34,19,15,.559,0.78,-1.57,,11,7,,11,4,,5,9,,2755,2603,,69.8,116.0,.297,.323,.579,49.3,53.9,11.0,8.2,.548,12.7,30.6,.225"
"315,Towson,34,19,15,.559,-0.82,-1.44,,9,9,,11,3,,3,10,,2354,2248,,64.6,106.7,.299,.353,.508,53.9,40.3,9.2,10.0,.477,13.2,36.6,.208"
"316,Troy NCAA,33,22,11,.667,-0.76,-4.57,,12,6,,10,3,,9,7,,2649,2412,,68.1,113.5,.358,.455,.562,52.4,58.2,11.3,9.1,.526,14.3,35.3,.264"
"317,Tulane,33,18,15,.545,-2.50,1.13,,8,10,,10,8,,6,4,,2389,2493,,68.2,105.3,.434,.451,.548,44.3,55.5,11.2,12.6,.495,14.0,23.2,.332"
"318,Tulsa,33,26,7,.788,11.14,0.78,,13,5,,13,2,,8,4,,2824,2409,,68.8,122.9,.405,.463,.608,53.8,55.4,9.1,6.8,.566,12.9,33.6,.316"
"319,UAB,32,20,12,.625,3.56,-0.24,,11,7,,8,9,,10,2,,2535,2361,,70.8,110.5,.363,.305,.524,52.4,50.2,11.0,9.5,.486,10.5,33.0,.256"
"320,UC Davis,33,19,14,.576,-1.09,-1.13,,11,9,,12,4,,6,9,,2562,2478,,71.9,107.2,.406,.431,.564,48.2,60.3,11.1,7.7,.521,15.7,26.6,.304"
"321,UC Irvine,34,23,11,.676,3.65,-1.42,,15,5,,12,4,,7,5,,2632,2327,,71.4,107.2,.352,.277,.543,52.4,56.7,10.8,15.1,.512,15.1,32.7,.244"
"322,UC Riverside,32,10,22,.313,-7.76,-0.30,,5,15,,7,7,,3,15,,2334,2492,,70.7,103.1,.345,.388,.536,49.4,50.2,7.6,10.2,.495,16.1,28.9,.256"
"323,UC San Diego,34,23,11,.676,2.32,-1.68,,12,8,,10,5,,8,5,,2573,2390,,69.8,108.4,.323,.427,.555,50.9,55.7,10.9,7.8,.528,14.4,27.3,.225"
"324,UC Santa Barbara,32,18,14,.563,1.15,-1.82,,11,9,,11,4,,5,8,,2483,2328,,67.5,113.2,.376,.432,.587,53.7,54.2,9.3,6.8,.549,16.3,32.2,.287"
"325,UCF NCAA,32,21,11,.656,13.30,10.80,,9,9,,13,5,,5,5,,2591,2511,,70.6,113.7,.308,.344,.560,52.6,53.6,7.9,8.3,.528,13.4,34.4,.228"
"326,UCLA NCAA,34,23,11,.676,18.28,11.55,,13,7,,17,1,,4,6,,2643,2414,,65.7,117.0,.331,.359,.576,49.6,59.4,9.9,9.4,.539,11.6,31.1,.254"
"327,UNC Asheville,32,15,17,.469,-6.17,-3.89,,8,8,,9,7,,4,9,,2349,2334,,67.5,107.5,.394,.352,.550,50.9,42.8,8.0,9.9,.517,15.3,31.3,.271"
"328,UNC Greensboro,34,15,19,.441,-11.31,-6.02,,9,9,,8,6,,4,9,,2673,2736,,69.0,112.6,.408,.396,.565,50.4,48.0,8.0,5.6,.530,12.8,28.6,.288"
"329,UNC Wilmington,32,26,6,.813,2.50,-5.04,,15,3,,15,3,,11,2,,2465,2166,,67.0,114.9,.417,.382,.548,54.8,51.8,7.9,7.2,.514,12.5,36.1,.286"
"330,UT Arlington,32,18,14,.563,-1.74,-1.70,,9,9,,9,4,,8,8,,2240,2134,,67.3,102.7,.416,.304,.527,53.9,48.1,11.2,9.9,.481,17.3,36.1,.299"
"331,Utah,32,10,22,.313,6.19,10.94,,2,16,,8,9,,1,10,,2379,2531,,68.0,108.8,.317,.375,.554,49.0,51.7,7.8,8.4,.520,14.6,29.3,.234"
"332,Utah State NCAA,34,28,6,.824,17.36,6.51,,15,5,,14,1,,7,5,,2806,2392,,68.5,120.0,.378,.412,.599,51.3,60.5,12.8,8.8,.572,13.3,33.3,.267"
"333,Utah Tech,34,19,15,.559,-3.56,-1.30,,11,7,,11,3,,6,10,,2612,2548,,68.9,108.8,.320,.385,.570,48.6,52.9,10.2,7.8,.540,15.5,28.6,.233"
"334,Utah Valley,33,25,8,.758,5.36,-1.77,,14,4,,15,0,,6,7,,2646,2259,,69.9,113.4,.362,.333,.585,53.8,62.6,13.3,15.0,.560,17.0,36.5,.251"
"335,UTEP,31,11,20,.355,-6.66,-0.41,,7,13,,9,7,,2,11,,2149,2244,,66.8,102.6,.351,.386,.527,47.3,48.8,11.3,10.5,.492,15.1,27.8,.245"
"336,UTSA,30,5,25,.167,-14.21,1.44,,1,17,,2,12,,2,12,,2084,2422,,70.2,99.0,.290,.406,.491,46.6,43.9,9.4,12.1,.459,14.5,31.0,.200"
"337,Valparaiso,33,18,15,.545,-0.03,0.66,,11,9,,13,4,,4,10,,2376,2358,,66.3,106.6,.383,.367,.523,50.8,49.4,8.8,9.6,.483,13.3,32.7,.270"
"338,Vanderbilt NCAA,34,26,8,.765,22.83,11.68,,11,7,,13,3,,8,4,,2936,2557,,70.8,121.1,.382,.436,.596,50.3,56.2,11.4,12.6,.553,11.6,31.2,.303"
"339,Vermont,34,22,12,.647,-6.82,-10.20,,12,4,,13,3,,8,7,,2496,2330,,64.7,112.2,.316,.449,.567,52.7,48.8,7.0,9.3,.539,12.7,27.1,.226"
"340,Villanova NCAA,32,24,8,.750,16.30,9.93,,15,5,,13,3,,9,3,,2469,2265,,66.4,114.8,.313,.457,.562,49.8,56.8,11.1,6.0,.537,12.9,32.4,.217"
"341,Virginia NCAA,34,29,5,.853,21.60,9.36,,15,3,,16,1,,8,2,,2742,2326,,66.5,119.1,.330,.465,.576,55.1,59.1,9.5,17.5,.546,13.4,37.9,.240"
"342,Virginia Commonwealth NCAA,34,27,7,.794,13.19,3.11,,15,3,,15,2,,7,3,,2773,2430,,69.4,117.6,.437,.438,.582,51.7,52.7,10.6,11.3,.541,13.1,32.3,.323"
"343,VMI,32,6,26,.188,-20.72,-6.03,,1,17,,5,9,,1,14,,2303,2560,,68.6,104.9,.292,.540,.523,45.1,51.9,10.2,7.2,.490,12.7,26.5,.211"
"344,Virginia Tech,32,19,13,.594,13.28,9.38,,8,10,,14,3,,3,7,,2521,2396,,68.0,112.8,.340,.397,.558,49.8,52.4,9.2,8.7,.522,12.9,31.9,.253"
"345,Wagner,31,14,17,.452,-11.79,-8.69,,8,10,,8,5,,6,12,,2210,2222,,66.2,105.5,.311,.364,.535,52.8,49.5,8.2,7.0,.501,16.1,33.8,.227"
"346,Wake Forest,33,17,16,.515,12.57,10.79,,7,11,,12,6,,2,7,,2602,2543,,69.5,112.2,.351,.437,.567,48.5,53.2,11.1,11.1,.526,13.5,29.7,.271"
"347,Washington,33,16,17,.485,14.17,10.68,,7,13,,10,6,,4,9,,2545,2430,,68.0,112.2,.301,.346,.549,53.3,49.4,8.3,11.2,.512,13.0,34.6,.230"
"348,Washington State,32,12,20,.375,3.49,5.10,,7,11,,9,6,,1,11,,2435,2480,,69.2,110.0,.307,.448,.579,51.5,51.8,8.1,7.7,.549,16.5,30.1,.228"
"349,Weber State,32,16,16,.500,-2.82,-2.59,,10,8,,11,5,,5,10,,2598,2474,,70.7,113.6,.372,.333,.564,53.0,46.8,10.1,4.4,.527,13.3,32.7,.273"
"350,West Georgia,32,15,17,.469,-10.95,-5.78,,8,10,,10,5,,4,11,,2450,2547,,70.5,107.4,.291,.333,.531,50.7,45.1,9.1,13.0,.503,13.5,31.9,.204"
"351,West Virginia,32,18,14,.563,12.80,8.37,,9,9,,15,3,,3,6,,2214,2072,,64.0,106.9,.355,.429,.540,51.0,53.2,9.9,8.6,.511,15.1,31.0,.240"
"352,Western Carolina,31,15,16,.484,-6.41,-3.72,,10,8,,10,3,,4,12,,2432,2397,,69.1,112.6,.298,.411,.543,54.6,45.5,8.8,8.5,.513,13.7,36.7,.214"
"353,Western Illinois,31,5,26,.161,-23.44,-8.16,,1,19,,4,11,,1,15,,2011,2381,,67.2,96.2,.367,.333,.492,46.7,37.2,7.7,5.2,.455,15.1,28.9,.244"
"354,Western Kentucky,32,18,14,.563,0.47,-0.47,,11,9,,12,4,,5,7,,2537,2436,,71.1,110.6,.418,.399,.533,50.9,52.0,10.6,7.0,.481,12.3,32.5,.317"
"355,Western Michigan,31,10,21,.323,-8.32,-2.15,,4,14,,7,8,,3,13,,2318,2464,,69.7,106.9,.335,.351,.540,51.2,48.1,6.5,7.9,.502,14.9,31.2,.249"
"356,Wichita State,33,22,11,.667,8.72,2.10,,13,5,,14,3,,7,4,,2562,2324,,67.1,113.2,.359,.343,.534,54.6,42.2,8.8,10.3,.501,12.5,38.8,.248"
"357,William & Mary,32,20,12,.625,-0.06,-2.69,,10,8,,11,2,,6,9,,2660,2487,,73.9,112.5,.437,.425,.591,49.4,64.0,10.8,11.7,.551,14.7,26.9,.326"
"358,Winthrop,34,23,11,.676,-0.64,-4.42,,13,3,,13,1,,7,9,,2844,2566,,72.1,115.6,.432,.444,.555,54.0,52.4,9.7,8.6,.512,12.6,35.5,.315"
"359,Wisconsin NCAA,34,24,10,.706,19.52,12.44,,14,6,,15,2,,6,4,,2822,2581,,68.8,118.8,.319,.526,.582,50.5,57.3,8.1,8.5,.545,11.1,29.4,.251"
"360,Wofford,32,19,13,.594,-7.38,-7.18,,11,7,,10,5,,9,7,,2520,2468,,68.1,115.2,.363,.439,.562,50.5,51.8,8.5,8.6,.531,11.8,31.0,.256"
"361,Wright State NCAA,34,23,11,.676,0.12,-4.44,,15,5,,11,5,,9,5,,2745,2497,,69.0,116.5,.377,.334,.583,53.1,48.1,10.7,11.5,.549,14.0,34.2,.278"
"362,Wyoming,32,18,14,.563,7.55,4.07,,9,11,,14,4,,3,9,,2467,2335,,67.6,114.1,.358,.423,.561,53.3,52.5,9.5,7.0,.523,13.8,35.2,.266"
"363,Xavier,33,15,18,.455,7.87,10.15,,6,14,,12,6,,1,10,,2586,2661,,71.2,109.2,.281,.406,.547,47.6,62.2,9.0,10.3,.518,12.3,26.5,.205"
"364,Yale,30,24,6,.800,6.13,-2.51,,11,3,,10,2,,9,3,,2453,2129,,66.1,122.2,.343,.363,.601,53.3,56.5,8.3,10.1,.569,12.1,33.6,.260"
"365,Youngstown State,32,15,17,.469,-4.44,-4.64,,8,12,,10,5,,4,11,,2495,2338,,69.0,112.5,.316,.489,.577,51.0,54.2,10.4,9.4,.547,15.8,32.1,.234"
